"Variable / Field Name" "Form Name" "CTCC Name" "Section Header" "Field Type" "Field Label" "Choices, Calculations, OR Slider Labels" "Field Note" "Text Validation Type OR Show Slider Number"
"1" "mdsupdrs_dttm" "mdsupdrs" "UPDRS_DT" NA "text" "Please enter current date and time." NA NA "datetime_mdy"
"2" "inv_code" "mdsupdrs" "UPDRS_INV" NA "text" "Please enter staff code." NA NA "integer"
"3" "visittyppdbpmds" "mdsupdrs" "UPDRS_VST" NA "radio" "Parkinson's Disease Biomarker's Program (PDBP) - visit type" "1, Screening | 2, Baseline | 3, 12 months | 4, 24 months | 99, Premature Withdrawal" NA NA
"4" "mdsupdrsprimrysrcinfotyp" "mdsupdrs" "NPSRC1A" "Part 1A: Complex behaviors: [completed by rater]" "radio" "Primary source of information:

To be read to the patient: I am going to ask you six questions about behaviors that you may or may not experience.


Some questions concern common problems and some concern uncommon ones. If you have a problem in one of the areas, please choose the best response that describes how you have felt MOST OF THE TIME during the PAST WEEK. If you are not bothered by a problem, you can simply respond NO. I am trying to be thorough, so I may ask questions that have nothing to do with you." "1, Caregiver | 2, Patient | 3, Patient and Caregiver in Equal Proportion" NA NA
"5" "rcntcogimprmntscor" "mdsupdrs" "NP1COG" "1.1 COGNITIVE IMPAIRMENT" "radio" "Instructions to examiner: Consider all types of altered level of cognitive function including cognitive slowing, impaired reasoning, memory loss, deficits in attention and orientation. Rate their impact on activities of daily living as perceived by the patient and/or caregiver.


Instructions to patients [and caregiver]: Over the past week have you had problems remembering things, following conversations, paying attention, thinking clearly, or finding your way around the house or in town? [If yes, examiner asks patient or caregiver to elaborate and probes for information.]" "0, 0 (Normal: No cognitive impairment) | 1, 1 (Slight: Impairment appreciated by patient or caregiver with no concrete interference with the patient's ability to carry out normal activities and social interactions) | 2, 2 (Mild: Clinically evident cognitive dysfunction, but only minimal interference with the patient's ability to carry out normal activities and social interactions) | 3, 3 (Moderate: Cognitive deficits interfere with but do not preclude the patient's ability to carry out normal activities and social interactions) | 4, 4 (Severe: Cognitive dysfunction precludes the patient's ability to carry out normal activities and social interactions.) | 000, (Unable To Rate)" NA NA
"6" "hallucpsychosscore" "mdsupdrs" "NP1HALL" "1.2 HALLUCINATIONS AND PSYCHOSIS" "radio" "Instructions to examiner: Consider both illusions (misinterpretations of real stimuli) and hallucinations (spontaneous false sensations). Consider all major sensory domains (visual, auditory, tactile, olfactory and gustatory). Determine presence of unformed (for example sense of presence or fleeting false impressions) as well as formed (fully developed and detailed) sensations. Rate the patient's insight into hallucinations and identify delusions and psychotic thinking.


Instructions to patients [and caregiver]: Over the past week have you seen, heard, smelled or felt things that were not really there? [If yes, examiner asks patient or caregiver to elaborate and probes for information.]" "0, 0 (Normal: No hallucinations or psychotic behavior) | 1, 1 (Slight: Illusions or non-formed hallucinations, but patient recognizes them without loss of insight) | 2, 2 (Mild: Formed hallucinations independent of environmental stimuli. No loss of insight) | 3, 3 (Moderate: Formed hallucinations with loss of insight) | 4, 4 (Severe: Patient has delusions or paranoia.) | 000, (Unable To Rate)" NA NA
"7" "mdsupdrsdrpssmoodscore" "mdsupdrs" "NP1DPRS" "1.3 DEPRESSED MOOD" "radio" "Instructions to examiner: Consider low mood, sadness, hopelessness, feelings of emptiness or loss of enjoyment. Determine their presence and duration over the past week and rate their interference with the patient's ability to carry out daily routines and engage in social interactions.


Instruction to the patient (and caregiver): Over the past week have you felt low, sad, hopeless or unable to enjoy things? If yes, was this feeling for longer than one day at a time? Did it make it difficult for you carry out your usual activities or to be with people? [If yes, examiner asks patient or caregiver to elaborate and probes for information.]
" "0, 0 (Normal: No depressed mood) | 1, 1 (Slight: Episodes of depressed mood that are not sustained for more than one day at a time. No interference with patient's ability to carry out normal activities) | 2, 2 (Mild: Depressed mood that is sustained over days, but without interference with normal activities and social interactions.) | 3, 3 (Moderate: Depressed mood that interferes with, but does not preclude, the patient's ability to carry out normal activities and social interactions.) | 4, 4 (Severe: Depressed mood precludes patient's ability to carry out normal activities and social interactions.) | 000, (Unable To Rate)" NA NA
"8" "mdsupdrsanxsmoodscore" "mdsupdrs" "NP1ANXS" "1.4 ANXIOUS MOOD" "radio" "Instructions to examiner: Determine nervous, tense, worried or anxious feelings (including panic attacks) over the past week and rate their duration and interference with the patient's ability to carry out daily routines and engage in social interactions.


Instructions to patients [and caregiver]: Over the past week have you felt nervous, worried or tense? If yes, was this feeling for longer than one day at a time? Did it make it difficult for you to follow your usual activities or to be with other people? [If yes, examiner asks patient or caregiver to elaborate and probes for information.]" "0, 0 (Normal: No anxious feelings) | 1, 1 (Slight: Anxious feelings present but not sustained for more than one day at a time. No interference with patient's ability to carry out normal activities and social interactions) | 2, 2 (Mild: Anxious feelings are sustained over more than one day at a time, but without interference with patient's ability to carry out normal activities and social interactions) | 3, 3 (Moderate: Anxious feelings interfere with, but do not preclude, the patient's ability to carry out normal activities and social interactions) | 4, 4 (Severe: Anxious feelings preclude patient's ability to carry out normal activities and social interactions.) | 000, (Unable To Rate)" NA NA
"9" "mdsupdrsapathyscore" "mdsupdrs" "NP1APAT" "1.5 APATHY" "radio" "Instructions to examiner: Consider level of spontaneous activity, assertiveness, motivation and initiative and rate the impact of reduced levels on performance of daily routines and social interactions. Here the examiner should attempt to distinguish between apathy and similar symptoms that are best explained by
depression.


